product_id,score,comment_time,comment
7240662.0,3.0,2020-06-27 12:04:28,相比原来的铜管这个不锈钢的出水温度慢很多导热性比铜的差不少
7240662.0,5.0,2019-12-29 16:17:41,出水速度很快
7240662.0,5.0,2020-01-18 12:24:00,出热水速度很快
7240662.0,5.0,2020-04-19 17:57:53,出水速度快使用方便
7240662.0,5.0,2019-11-24 08:58:57,出水也很好正正好好值得购买
7240662.0,5.0,2020-06-17 11:01:23,很快
7240662.0,5.0,2020-07-05 13:58:08,热水很快过来
7240662.0,5.0,2020-04-26 17:18:31,很快
7240662.0,5.0,2020-03-31 18:15:57,出水速度快
7240662.0,5.0,2020-01-15 17:35:00,稳定
7240662.0,5.0,2020-05-31 21:51:53,一键操作简单方便热水器出水速度快智能恒温操作系统满足精准温控的需要
7240662.0,5.0,2019-12-12 13:16:37,很快
7240662.0,5.0,2020-04-12 13:10:08,稳定呵呵
7240662.0,5.0,2019-10-24 15:07:44,出水速度快
7240662.0,5.0,2019-12-12 11:08:37,出水速度快水量大
7240662.0,5.0,2020-04-11 19:34:36,还没有暂时不知道什么怳况
7240662.0,5.0,2020-04-22 17:16:35,出水速度很快
7240662.0,5.0,2020-04-10 21:05:02,流正常
7240662.0,5.0,2020-06-27 15:18:43,13l一家三口绰绰有余水量调节很合适特别好
7240662.0,5.0,2019-12-07 12:31:26,很好非常快
7240662.0,5.0,2020-07-01 21:10:04,比较大比较快很不错
7240662.0,5.0,2020-06-15 23:56:53,出水速度很快超级敏感
7240662.0,5.0,2019-09-24 10:40:07,很快
7240662.0,5.0,2019-12-01 21:23:26,出热水很快和储水式的一样
7240662.0,5.0,2019-12-13 19:20:23,水压大出热水快
7240662.0,5.0,2020-01-05 14:09:32,很快
7240662.0,5.0,2020-05-05 13:10:04,可以
7240662.0,5.0,2019-11-11 13:28:52,还可以只需几秒钟
7240662.0,5.0,2019-11-06 16:25:53,十秒出水热的很快
7240662.0,5.0,2019-11-30 09:55:19,水速度快流速高
7240662.0,5.0,2019-12-02 22:31:21,出水速度特别快
7240662.0,5.0,2020-03-22 10:46:07,基本上三秒就有热水
7240662.0,5.0,2019-12-15 16:44:47,出水速度很快
7240662.0,5.0,2020-02-20 17:10:22,出水速度流畅我欣赏
7240662.0,5.0,2020-03-12 15:13:20,出水很快
7240662.0,5.0,2020-05-29 10:43:56,流畅快速
7240662.0,5.0,2019-11-04 15:19:44,挺快的
7240662.0,5.0,2019-11-22 14:39:09,非常快
7240662.0,5.0,2020-03-18 11:04:49,出水速度快
7240662.0,5.0,2019-10-16 16:06:21,很快一打开水龙头没一会就出热水了
7240662.0,5.0,2019-11-18 20:10:03,很快
7240662.0,5.0,2020-03-01 15:08:09,出水快
7240662.0,5.0,2020-06-27 21:53:03,大概十几秒就出水了
7240662.0,5.0,2019-11-24 17:42:17,出水速度也很快
7240662.0,5.0,2019-12-01 13:27:49,出水很快
7240662.0,5.0,2019-12-21 00:46:44,水速度很快
7240662.0,5.0,2019-10-13 15:15:43,出水速度比想象中的好
7240662.0,5.0,2020-05-30 22:30:00,非常快非常足比我想象的好后续用用再看看
7240662.0,5.0,2020-06-18 13:40:51,速度快蛮不错的
7240662.0,5.0,2019-11-23 09:19:51,出热水快节约很多水
7240662.0,5.0,2019-09-30 19:55:59,快热水器在楼下楼上卫生间10秒左右出水非常满意
7240662.0,5.0,2020-06-07 10:47:15,出水比较快热水出的也比较快
7240662.0,5.0,2019-11-15 09:40:59,很快
7240662.0,5.0,2020-03-03 21:40:16,速度可以
7240662.0,5.0,2019-11-02 22:04:01,正常
7240662.0,5.0,2019-10-14 11:03:34,nice
7240662.0,5.0,2019-10-30 22:05:23,均匀
7240662.0,5.0,2019-11-17 19:08:16,洗澡的时候水流非常冲而且调节到适宜温度后非常恒定
7240662.0,5.0,2019-11-12 18:30:17,出水速度快
7240662.0,5.0,2019-12-12 11:12:08,热水器出水量大
7240662.0,5.0,2020-06-15 14:02:47,速度快
7240662.0,5.0,2019-10-28 14:46:59,出水很快
7240662.0,5.0,2019-10-03 14:44:37,还没使用后期用了再评价客服回应也相当及时给予好评
7240662.0,5.0,2020-05-06 17:43:08,超大
7240662.0,5.0,2019-10-21 16:50:14,非常快
7240662.0,5.0,2020-04-24 12:45:40,正常
7240662.0,5.0,2019-11-30 15:42:04,出水速度快
7240662.0,5.0,2019-10-27 18:39:01,很快量大
