product_id,score,comment_time,comment
2905589.0,3.0,2019-11-07 07:48:16,一般
2905589.0,5.0,2020-05-15 15:28:46,一级能耗省电省气
2905589.0,5.0,2019-12-18 21:32:24,省电省天然气海尔不错的选择
2905589.0,5.0,2020-05-15 10:16:08,耗电量应该会低吧说是二级能耗
2905589.0,5.0,2020-04-13 21:50:46,这个情况要靠时间去检测
2905589.0,5.0,2019-10-31 15:59:45,比电强多了
2905589.0,5.0,2019-11-16 22:38:19,耗能情况也还好吧就是如果不用的话可以尽量的关闭电源
2905589.0,5.0,2019-10-07 20:47:04,二级能耗能接受
2905589.0,5.0,2020-05-14 13:23:33,没用还不知道
2905589.0,5.0,2020-06-23 08:49:40,这个不是特别清楚因为热水器是全封闭的看不见火的蓝色不过我同时买的海尔的燃气灶火是蓝色的没有一点黄
2905589.0,5.0,2020-02-22 13:54:40,2级能效
2905589.0,5.0,2019-11-16 20:05:05,非常节能一打就着热水很快就出来了比某品牌的产品出热水时间至少快5秒但安全稳定
2905589.0,5.0,2019-11-03 11:58:39,待测
2905589.0,5.0,2019-11-19 23:01:58,耗能不大比之前的好的多
2905589.0,5.0,2019-11-16 11:53:49,暂时不太清楚用用再看快递小哥很热情实在背上了六楼真心感谢
2905589.0,5.0,2019-10-29 13:08:17,耗能就只有交给专业人氏去评估
2905589.0,5.0,2019-12-27 21:27:41,还不知道刚安装
2905589.0,5.0,2019-11-05 18:38:10,反正挺节能的
2905589.0,5.0,2019-12-01 11:18:20,挺省煤气的比电热水器好多了
2905589.0,5.0,2020-01-19 13:07:11,省时省电
2905589.0,5.0,2019-10-28 12:03:10,很节能
2905589.0,5.0,2019-10-17 08:32:04,耗能非常小
2905589.0,5.0,2020-04-08 15:26:08,耗气量不大燃烧效果充分杠杠滴赞赞京东物流很快送货的师傅服务态度很好赞赞
2905589.0,5.0,2020-02-14 11:54:32,肯定是比以前的非恒温效果耗能少
2905589.0,5.0,2020-03-31 21:35:37,正常
2905589.0,5.0,2020-05-18 11:19:28,这个刚装还不知道
2905589.0,5.0,2019-10-02 15:08:26,很省电只是打火
2905589.0,5.0,2019-09-23 21:44:49,很低
2905589.0,5.0,2019-10-29 11:44:07,不知道
2905589.0,5.0,2020-01-16 15:53:37,不知道
2905589.0,5.0,2020-03-02 16:58:48,这还不清楚没仔细观察
2905589.0,5.0,2020-02-07 15:51:28,正常
2905589.0,5.0,2019-12-12 20:41:28,功耗正常
2905589.0,5.0,2019-10-26 18:43:03,适中
2905589.0,5.0,2020-05-05 10:52:57,操作简单
2905589.0,5.0,2019-12-15 06:58:24,小是我2019年网上买的最最完美的单品
2905589.0,5.0,2019-11-17 12:48:29,不错
2905589.0,5.0,2020-04-27 11:04:01,没感觉
2905589.0,5.0,2019-12-06 22:44:17,很节能
2905589.0,5.0,2020-04-26 11:12:10,不好能
2905589.0,5.0,2019-11-08 08:39:23,相信品牌科技的力量
2905589.0,5.0,2020-02-10 16:31:31,很小
2905589.0,5.0,2020-06-22 09:47:25,暂时不知未来补充
2905589.0,5.0,2020-06-03 17:18:27,不清楚
2905589.0,5.0,2020-05-31 20:33:33,暂时还没使用相信海尔的品质使用后再来追评
2905589.0,5.0,2020-05-30 14:09:38,暂时不清楚
2905589.0,5.0,2020-05-27 07:50:23,既然是好品牌自然要相信它
2905589.0,5.0,2020-05-17 15:40:25,现在还不知道希望省一点
2905589.0,5.0,2020-04-28 23:44:42,还行
2905589.0,5.0,2020-04-28 22:19:03,这就是燃气热水器的最大优势了相比传统电热水器燃气热水器省点省钱可以一直洗是酷爱洗澡的同志们的最爱不像传统电热水器也就那么6080100升不得了咯用完还要等一家四口洗个澡都要排队特别是冬天洗的相当不舒服所以还是用燃气热水器好啊
2905589.0,5.0,2020-04-18 13:51:18,刚按照好以后再评价
2905589.0,5.0,2020-05-16 14:04:40,二级耗能
2905589.0,5.0,2020-04-17 07:59:31,耗能也还行
2905589.0,5.0,2020-03-14 21:11:59,使用天然气基本能耗不大
2905589.0,5.0,2020-02-28 17:53:11,目前还没有用大牌设计合理
2905589.0,5.0,2020-03-24 17:09:40,应该不会很大
2905589.0,5.0,2020-03-24 07:43:35,不知道
2905589.0,5.0,2019-12-23 00:01:59,一般省气
2905589.0,5.0,2019-12-17 22:41:13,这个不知道什么算
2905589.0,5.0,2019-12-04 18:06:44,耗能小
2905589.0,5.0,2019-11-18 14:28:51,暂时不清楚
2905589.0,5.0,2019-11-13 14:08:38,还算节能2级能效的
66315345132.0,5.0,2020-07-05 08:34:53,低耗能
66315345132.0,5.0,2020-06-12 12:45:03,二级应该还可以
66315345132.0,5.0,2020-04-19 16:51:04,刚用还不知道但小家电应该都低的
66315345132.0,5.0,2020-07-03 16:25:58,还可以
66315345132.0,5.0,2020-06-21 20:37:20,目前没研究
66315345132.0,5.0,2020-06-06 15:23:28,一般
66315345132.0,5.0,2020-06-06 19:45:48,较以前的热水器效率高
100003294619.0,1.0,2019-12-26 19:54:25,太费气了一个月差不多得150立方的燃气还得省着点用
100003294619.0,5.0,2020-01-08 00:17:07,节能2级能效
100003294619.0,5.0,2019-12-23 14:40:21,很节能
100003294619.0,5.0,2020-06-19 01:49:53,耗能情况还不是很清楚后期会观察一下不过海尔在能耗这方面还是不用太担心的品牌力还是很强的也值得信赖
100003294619.0,5.0,2020-06-06 10:03:02,能耗用一段时间再追评只要合理使用应该不会太高
100003294619.0,5.0,2020-04-01 11:20:57,节省
100003294619.0,5.0,2019-12-01 17:12:22,还没有用还是很不错的
100003294619.0,5.0,2020-04-09 02:29:37,应该没有什么大的耗能正常范围内的耗能
100003294619.0,5.0,2019-11-07 15:46:32,能耗问题暂时还不是很清楚用一段时间就知道了
100003294619.0,5.0,2020-03-14 15:44:35,还好还没用很久应该不会很耗电
100003294619.0,5.0,2019-11-02 11:25:30,比较节能达到预期效果
100003294619.0,5.0,2019-11-15 11:58:07,省电
100003294619.0,5.0,2020-01-03 15:36:12,一级低耗
100003294619.0,5.0,2019-11-12 23:58:29,能耗效果满意节能环保好评特别提一年零冷水功能很好用虽然没有回水管但是也能够几乎做饭秒出热水既节省了水又节省了时间特别是天气冷了零冷水功能更显得重要这个价格买得到真的很超值京东和海尔都很给力好评
100003294619.0,5.0,2020-05-23 19:42:10,还没使用但是相信海尔这个大品牌家里好多电器都是海尔品牌的售前售后都让人很满意
100003294619.0,5.0,2019-11-11 13:30:44,还可以热水气都比较节能
100003294619.0,5.0,2019-11-19 20:42:17,节能环保
100003294619.0,5.0,2020-01-10 01:07:24,己认为适中有人说费电但我不这么认为平常时候拔掉插销会省很多电
100003294619.0,5.0,2019-12-14 13:45:51,耗能适度和介绍的一致
100003294619.0,5.0,2019-11-26 08:24:00,显示是一级能效相信海尔大品牌
100003294619.0,5.0,2020-06-30 19:09:26,能效等级2级16升带两个卫生间应该没问题
100003294619.0,5.0,2019-11-24 19:03:19,节能
100003294619.0,5.0,2020-02-08 21:40:58,能耗我不是非常清楚因为不会计算
