id,product_id,score,comment_time,comment
16529,100007646337,5,2020-07-09 08:16:09,外形外观小巧原以为这个容量会比较大还是很好看出水速度很快热水方便
16530,100007646337,5,2020-07-09 07:03:22,用后感觉很好燃气压力小控制非常稳定
16531,100007646337,5,2020-07-08 15:52:00,比之前的好多了家用足够安装负责
16533,100007646337,5,2020-07-08 09:28:37,安装迅速机型漂亮希望好用好评
16535,100007646337,5,2020-07-07 16:03:39,外形外观高端大气上档次恒温效果精确噪音大小噪音很小出水速度非常快安装服务耐心服务好耗能情况很好
16536,100007646337,5,2020-07-07 13:25:49,送货及时安装满意
16537,100007646337,5,2020-07-07 10:55:58,再次购买了效果挺好送货速度很快安装态度很好
16538,100007646337,5,2020-07-07 10:12:58,安装服务看一看处理及时很专业态度很好
16539,100007646337,5,2020-07-07 07:21:36,送货快包装完好外形美观恒温效果好
16540,100007646337,5,2020-07-06 20:33:54,送货师傅态度好安装服务态度好非常满意
16541,100007646337,5,2020-07-06 19:12:07,产品质量好性价比高值得购买
16542,100007646337,4,2020-07-06 13:54:27,外形外观美观安装服务安装师傅没给安装态度不好让我退货
16543,100007646337,5,2020-07-06 13:37:34,宝贝收到了物流特别快基本第二天就到了包装的非常牢实打开包装货品也是非常完好不管是外观还是功能都是我所满意喜欢的朋友可以下手了总之我是非常非常满意的
16546,100007646337,5,2020-07-06 08:40:49,价格很实惠就是618保价折腾的不轻物流速度非常快安装师傅也挺认真的打孔的时候还特意拿塑料袋接着水管跟燃气管也都是现场制作布局比买现成的好看的多热水器也很好出热水速度快13L的流量一般家庭足够用了颜色淡雅美观大方美的大品牌值得信赖
16547,100007646337,5,2020-07-06 08:17:24,家里正在装修暂时还没有安装之后会来追评
16548,100007646337,5,2020-07-05 23:20:16,安装满意好评
16549,100007646337,5,2020-07-05 22:33:53,安装服务服务周到考虑了弯头角度挺好
16550,100007646337,5,2020-07-05 21:34:53,性价比高安装师傅很专业
16551,100007646337,5,2020-07-05 19:59:51,家里的老式热水器总是忽冷忽热的洗澡根本没法用邻居推荐了这款618下的单我在外地还没安装老婆说包装得插严实的快递小哥也不错直接给送到楼上了等用了之后再追评
16554,100007646337,5,2020-07-05 15:13:22,安装师傅安装很好相信美的燃气热水器外观漂亮恒温效果好噪音小出水速度快安装服务好好能小618京东产品价格实惠相信大品牌家里很多家电现在都用美的希望美的产品越来越好希望京东越来越好还会回购
16556,100007646337,5,2020-07-05 13:08:08,美的热水器送货及时安装及时赞
16558,100007646337,5,2020-07-05 12:17:42,恒温效果不错外形外观漂亮噪音大小小声
16559,100007646337,5,2020-07-05 11:47:04,安装服务服务态度很好非常满意点赞
16561,100007646337,5,2020-07-05 11:00:30,热水器的外观很时尚价格也特别实惠这款热水器保修8年美的的售后没话说安装师傅也很好安装特别快
16564,100007646337,5,2020-07-04 17:35:24,物流很快安装师傅很热情服务很到位
16565,100007646337,5,2020-07-04 15:27:39,质量很好很喜欢推荐
16566,100007646337,5,2020-07-04 13:28:13,包装很好价格实惠还行吧好评
16567,100007646337,5,2020-07-04 11:36:22,外形外观比较喜欢出水速度正常速度噪音大小无安装服务服务态度好没有多其他费用
16568,100007646337,5,2020-07-04 10:39:12,安装师傅认真负责对售后很满意
16569,100007646337,5,2020-07-04 10:19:35,恒温效果一换效果非常好噪音大小声音不大安装服务师傅服务非常好非常满意
16570,100007646337,5,2020-07-03 17:12:52,今天配送就装好了试了试非常满意
16575,100007646337,5,2020-07-03 13:06:44,安装服务安装到位速度快
16576,100007646337,5,2020-07-03 10:17:40,安装服务安装师傅技术好装上很美观
16578,100007646337,5,2020-07-03 10:02:05,安装服务安装师傅服务周到安装及时
16579,100007646337,5,2020-07-02 16:24:18,安装服务特别好
16580,100007646337,5,2020-07-02 16:20:10,送货很快服务很耐心
16582,100007646337,5,2020-07-01 18:43:14,外形外观比较好看简单美观大小合适噪音大小感觉还好待多使用一段时间后外补充出水速度出热水还算很快安装服务安装师傅很热情家里安装也比较复杂师傅忙上忙下不容易功能明确操作简单没有什么附加功能如联网预约什么的用途非常实用
16584,100007646337,5,2020-07-01 17:36:06,刚安装好看着还行
16585,100007646337,5,2020-07-01 16:58:42,安装服务非常满意
16586,100007646337,5,2020-07-01 12:40:01,安装服务师傅挺好的暂时没用用后追评
16587,100007646337,5,2020-07-01 12:29:49,安装好了服务非常好很满意
16589,100007646337,5,2020-06-30 14:10:20,外形外观热水器安装好了师傅很专业非常好
16590,100007646337,5,2020-06-30 13:53:22,外形外观外观小巧精致噪音大小噪音很小比我那个老机器好太多了安装服务安装师傅很专业很细心
16591,100007646337,5,2020-06-30 12:42:04,安装服务安装非常满意服务又好
16592,100007646337,5,2020-06-30 12:29:07,己安装上安装师傅说升数大小跟楼层没关系的收了二十多材料费一厨两卫同时开水会变小
16593,100007646337,5,2020-06-30 11:58:03,对安装服务很满意
16594,100007646337,5,2020-06-30 11:03:34,安装完成服务态度很好
16595,100007646337,5,2020-06-30 10:25:10,外形外观挺好看的还没有安装还送安装挺划算的
16596,100007646337,5,2020-06-30 10:07:17,安装的时候跟师傅约了好几次时间才来来了以后工人呆了不到两分钟就走了说是美的安装费用比较高比机子要贵让我们自己找水工按装要是找他安装他的收费很贵之后就再也联系不上了过了有个三周左右工人打电话给我问我还用不用他来安装使用方面经常会洗东西洗一半不出热水总之差评
16597,100007646337,5,2020-06-30 09:26:19,不错一直在京东买东西非常的方便而且质量有保证退货方便信赖京东这么多年家里的电器基本都在京东买非常的划算服务非常好希望以后有更多的活动这次买了十几箱纸巾十几箱尿片屯货真的很便宜够半年的量了
16598,100007646337,5,2020-06-30 08:16:57,东西送到了还没拆封等过一阵安装后追评
